City Name,Latitude,Longitude,Cloudiness,Temperature,Humidity,Wind Speed,Country
Bredasdorp,-34.53,20.04,87,55.0,61,1.01,ZA
Yulara,-25.24,130.99,0,65.08,34,4.34,AU
Sokolo,14.73,-6.12,1,94.96,37,3.71,ML
Midland,32.0,-102.08,81,86.0,38,1.99,US
La Cruz,23.92,-106.9,4,80.24,82,6.04,MX
Pangnirtung,66.15,-65.71,100,49.53,68,10.11,CA
Nanortalik,60.14,-45.24,0,44.46,70,11.65,GL
Mastic Beach,40.77,-72.85,100,68.0,96,18.57,US
Talnakh,69.49,88.4,100,59.97,59,9.44,RU
Sabang,5.89,95.32,0,83.8,72,9.75,ID
Klaksvík,62.23,-6.59,86,54.09,93,8.19,FO
Bengkulu,-3.8,102.27,71,77.88,86,5.84,ID
Husavik,66.04,-17.34,93,64.4,68,10.29,IS
Nyzy,50.78,34.78,3,69.51,70,7.92,UA
Tuktoyaktuk,69.45,-133.04,100,46.18,91,8.1,CA
Arroyo de la Encomienda,41.61,-4.8,35,78.01,67,13.44,ES
Dingle,11.0,122.67,100,76.24,88,3.42,PH
Grindavik,63.84,-22.43,86,53.38,91,15.14,IS
General Roca,-39.03,-67.58,100,56.52,37,29.71,AR
Bluff,-46.6,168.33,91,37.99,96,1.99,NZ
Esim,4.87,-2.24,49,78.4,71,10.67,GH
Mount Gambier,-37.83,140.77,78,42.49,97,4.38,AU
Saint-Philippe,-21.36,55.77,39,69.01,75,13.62,RE
Avera,33.19,-82.53,2,81.0,79,7.65,US
Korla,41.76,86.15,1,80.01,67,4.85,CN
Cabo San Lucas,22.89,-109.91,38,89.01,52,1.99,MX
Umm Kaddadah,13.6,26.69,27,93.52,32,7.4,SD
Siocon,7.71,122.14,100,79.74,82,5.73,PH
Ushuaia,-54.8,-68.3,99,34.18,87,21.99,AR
Hobart,-42.88,147.33,100,53.01,97,3.0,AU
Lakatoro,-16.1,167.42,97,76.66,79,14.97,VU
Krasnosel'kup,65.7,82.47,80,62.17,90,12.26,RU
College,64.86,-147.8,0,53.01,79,3.04,US
Tateyama,34.98,139.87,87,84.99,88,4.45,JP
Busselton,-33.65,115.33,59,48.0,79,15.68,AU
Vila Franca do Campo,37.72,-25.43,41,76.6,71,14.43,PT
Butaritari,3.07,172.79,100,81.36,69,6.76,KI
Kahului,20.89,-156.47,3,73.0,88,4.0,US
Chui,-33.7,-53.46,0,54.37,43,13.0,UY
Hilo,19.73,-155.09,65,71.01,92,1.99,US
Chapais,49.78,-74.85,0,75.99,42,9.69,CA
Vostok,46.49,135.88,67,56.55,100,4.47,RU
Los Llanos de Aridane,28.66,-17.92,4,77.0,70,8.75,ES
Talcahuano,-36.72,-73.12,87,48.85,61,2.44,CL
Coquimbo,-29.95,-71.34,0,57.87,64,3.53,CL
Kembé,4.62,21.89,87,77.43,92,3.49,CF
Banjar,-8.19,114.97,20,75.65,81,5.37,ID
Lobito,-12.35,13.55,18,72.28,78,7.34,AO
Bambous Virieux,-20.34,57.76,52,72.0,66,7.0,MU
Haftoni,38.76,48.76,0,70.5,67,6.08,AZ
Lagoa,39.05,-27.98,89,73.92,87,26.22,PT
Seoul,37.57,126.98,53,79.7,81,5.59,KR
San Vicente de Cañete,-13.08,-76.38,79,65.59,61,5.73,PE
Omboué,-1.57,9.26,38,77.79,74,11.54,GA
Upernavik,72.79,-56.15,0,41.43,75,14.43,GL
Noumea,-22.28,166.46,15,71.01,99,4.47,NC
Kruisfontein,-34.0,24.73,31,55.0,57,10.0,ZA
Thompson,55.74,-97.86,100,55.08,72,13.4,CA
Touros,-5.2,-35.46,76,84.09,58,19.01,BR
Tasiilaq,65.61,-37.64,100,40.35,91,10.11,GL
Padang,-0.95,100.35,21,78.21,79,4.43,ID
Saint-Junien,45.88,0.9,2,75.99,73,3.0,FR
Orikum,40.33,19.47,0,81.7,63,9.31,AL
Nikolskoye,59.7,30.79,1,71.01,61,8.97,RU
East London,-33.02,27.91,54,59.99,44,22.03,ZA
Carnarvon,-24.87,113.63,6,61.3,57,12.19,AU
Sitka,57.05,-135.33,100,55.53,83,0.36,US
Hammerfest,70.66,23.68,100,48.45,77,29.55,NO
Beringovskiy,63.05,179.32,100,51.76,81,4.81,RU
Saint Anthony,45.02,-93.22,26,77.0,62,4.0,US
Rome,43.21,-75.46,0,75.0,71,5.01,US
Kapaa,22.08,-159.32,32,71.01,78,8.43,US
Kobryn,52.21,24.36,0,75.74,55,3.47,BY
Constitución,-35.33,-72.42,13,52.7,46,9.51,CL
Faanui,-16.48,-151.75,76,77.04,75,13.02,PF
Raudeberg,61.99,5.14,9,61.0,86,3.0,NO
Shimoda,34.67,138.95,55,78.01,92,4.47,JP
Severo-Kuril'sk,50.68,156.12,57,50.7,91,8.01,RU
Laguna,38.42,-121.42,100,84.99,42,4.0,US
Paoua,7.24,16.44,51,76.37,91,4.07,CF
Forbes,-33.38,148.02,2,46.99,85,6.22,AU
Vardø,70.37,31.11,100,49.59,78,20.04,NO
Launceston,-41.45,147.17,100,51.01,92,1.99,AU
Nishifukuma,33.77,130.47,0,82.0,83,5.17,JP
Zhongshu,24.52,103.77,100,64.44,94,3.65,CN
Guerrero Negro,27.98,-114.06,61,82.51,53,8.79,MX
Açu,-5.58,-36.91,87,96.37,26,13.24,BR
Tiznit Province,29.58,-9.5,0,90.9,22,9.55,MA
Cabedelo,-6.98,-34.83,24,80.6,72,15.82,BR
Gernsbach,48.77,8.33,64,89.01,37,2.28,DE
Ardakān,32.31,54.02,0,91.72,17,8.46,IR
Tilichiki,60.47,166.1,100,48.4,86,7.76,RU
Marawi,8.0,124.29,100,75.0,89,4.0,PH
Östersund,63.18,14.64,0,65.43,47,8.9,SE
Ostrovnoy,68.05,39.51,67,50.63,76,12.88,RU
Losevo,50.68,40.05,34,64.58,72,4.9,RU
Santa Vitória do Palmar,-33.52,-53.37,0,54.82,44,11.88,BR
Nitra,48.31,18.08,41,81.0,67,5.1,SK
Ribeira Grande,38.52,-28.7,86,74.39,87,21.27,PT
Marataizes,-21.04,-40.82,0,79.66,64,7.56,BR
Steamboat Springs,40.48,-106.83,0,66.0,32,1.01,US
Arraial do Cabo,-22.97,-42.03,46,72.95,87,14.7,BR
Kurumkan,54.3,110.3,21,55.51,60,2.73,RU
Jamestown,42.1,-79.24,5,75.99,63,7.0,US
Lorengau,-2.02,147.27,50,82.11,79,9.08,PG
Longyearbyen,78.22,15.64,61,43.7,69,3.51,SJ
Provideniya,64.38,-173.3,100,51.1,77,5.35,RU
Aksay,47.26,39.87,21,72.0,30,5.99,RU
The Valley,18.22,-63.06,3,88.0,68,4.0,AI
Sychëvka,55.83,34.27,27,67.75,78,7.2,RU
Ilulissat,69.22,-51.1,0,40.82,64,5.41,GL
Torbay,47.67,-52.73,0,70.0,55,7.0,CA
Kosh-Agach,50.0,88.67,100,48.22,81,2.71,RU
Xinglongshan,43.96,125.47,2,69.39,73,6.44,CN
Villarrica,-25.75,-56.43,0,72.27,45,4.61,PY
Atar,20.52,-13.05,1,113.83,10,15.12,MR
Ubari,26.59,12.78,0,100.54,10,17.52,LY
Port Alfred,-33.59,26.89,24,54.59,61,19.46,ZA
Muzhi,65.37,64.67,15,48.9,70,3.74,RU
Iraquara,-12.25,-41.62,24,84.16,37,8.75,BR
Lüderitz,-26.65,15.16,0,64.13,37,28.7,NA
Hong Kong,22.29,114.16,37,84.0,79,8.01,HK
San Patricio,19.22,-104.7,63,88.75,57,6.53,MX
Portland,45.52,-122.68,0,75.0,77,2.8,US
Vuktyl,63.86,57.31,37,58.6,59,4.07,RU
Dakar,14.69,-17.44,71,83.41,78,9.89,SN
Yumen,40.28,97.2,0,68.54,21,8.46,CN
Sinjai,-5.12,120.25,75,73.96,77,1.72,ID
Ajdabiya,30.76,20.23,0,85.87,58,22.79,LY
Shenjiamen,29.96,122.3,0,81.43,88,15.82,CN
Kuminskiy,58.67,66.57,100,54.9,97,7.34,RU
Salalah,17.02,54.09,95,75.92,87,4.43,OM
Mahébourg,-20.41,57.7,41,72.0,66,7.0,MU
Jati,24.35,68.27,99,85.51,79,15.01,PK
Mossamedes,-15.2,12.15,17,66.72,79,10.22,AO
Prymors'k,46.73,36.34,0,70.12,52,6.51,UA
São Filipe,14.9,-24.5,48,80.65,78,14.14,CV
Duncan,34.5,-97.96,100,87.01,70,13.0,US
Omsukchan,62.53,155.8,0,42.37,74,6.6,RU
Bereda,43.27,-7.54,57,66.99,74,11.01,ES
Cherskiy,68.75,161.3,80,37.31,80,9.75,RU
Hithadhoo,-0.6,73.08,66,84.24,68,5.41,MV
Atherton,53.52,-2.49,100,69.01,79,4.0,GB
Dingcheng,32.13,115.04,15,83.05,73,3.47,CN
Chul'man,56.85,124.91,98,44.64,89,3.96,RU
Pevek,69.7,170.31,0,40.95,84,2.93,RU
Cururupu,-1.83,-44.87,94,86.04,58,10.18,BR
Kawalu,-7.38,108.21,61,72.01,91,0.63,ID
Tymovskoye,50.85,142.66,100,53.64,94,2.8,RU
Scarborough,54.28,-0.4,82,61.0,92,1.99,GB
Olafsvik,64.89,-23.71,62,55.47,82,8.12,IS
Coyhaique,-45.58,-72.07,94,38.35,75,11.3,CL
Zabid,14.2,43.32,100,94.5,38,12.35,YE
Chippewa Falls,44.94,-91.39,63,71.01,82,1.01,US
Geraldton,-28.77,114.6,26,57.99,69,4.0,AU
Bose,45.46,8.01,98,81.0,68,3.0,IT
Bar Harbor,44.39,-68.2,77,71.01,66,7.0,US
Heishan,41.69,122.11,100,72.9,82,4.5,CN
Haines Junction,60.75,-137.51,100,48.76,85,2.48,CA
Saint Paul Harbor,57.79,-152.41,0,57.85,73,5.5,US
Lompoc,34.64,-120.46,8,73.0,83,4.52,US
Matane,48.83,-67.52,0,70.0,51,3.78,CA
Kupang,-10.17,123.58,19,74.21,83,9.42,ID
Chernyshevskiy,63.01,112.47,67,43.63,66,1.5,RU
Ponta do Sol,32.67,-17.1,0,73.99,66,0.67,PT
City of San Pedro,14.35,121.02,100,80.01,90,1.99,PH
Dalton,34.77,-84.97,0,82.99,74,1.99,US
Azoyú,16.72,-98.73,100,86.05,62,1.5,MX
Leninskoye,47.94,132.62,0,57.74,88,7.09,RU
Agirish,61.92,63.02,100,52.84,70,7.36,RU
Ambovombe,-25.17,46.08,0,71.49,61,4.54,MG
Quang Ngai,15.12,108.8,100,78.28,85,3.0,VN
Alpena,45.06,-83.43,80,71.01,72,3.0,US
Bathsheba,13.22,-59.52,37,84.88,74,19.66,BB
Ancud,-41.87,-73.82,92,48.99,98,8.99,CL
Waddān,29.16,16.14,0,103.15,13,13.65,LY
Sayyan,15.17,44.32,100,65.97,55,7.07,YE
Sisimiut,66.94,-53.67,0,48.81,55,9.31,GL
Kumul,42.8,93.45,0,79.21,17,3.65,CN
San Quintín,30.48,-115.95,0,78.26,57,7.94,MX
Gadsden,34.01,-86.01,0,84.99,71,6.89,US
Kayamkulam,9.18,76.5,100,78.22,88,3.76,IN
Thinadhoo,0.53,72.93,89,84.9,66,3.74,MV
Klyuchi,52.27,79.17,93,64.33,53,9.06,RU
Saskylakh,71.92,114.08,24,47.75,75,2.91,RU
Bay Roberts,47.6,-53.26,0,72.0,100,1.01,CA
Anking,30.51,117.05,26,84.94,69,1.61,CN
Ballina,-28.87,153.57,30,57.0,59,3.0,AU
Acapulco de Juárez,16.86,-99.89,84,86.65,57,2.57,MX
Upington,-28.45,21.26,0,52.03,37,5.1,ZA
Grand Gaube,-20.01,57.66,44,72.0,66,7.0,MU
Kroya,-7.63,109.25,27,76.24,87,6.15,ID
Port Pirie,-33.18,138.02,16,51.01,59,9.33,AU
Kumbo,6.2,10.67,94,65.89,92,4.18,CM
Comodoro Rivadavia,-45.87,-67.5,0,47.64,48,31.94,AR
Saint-Paul,-21.01,55.27,15,69.01,77,3.0,RE
Igunga,-4.28,33.88,47,82.51,25,8.7,TZ
Tabuk,17.42,121.44,100,75.33,86,2.86,PH
São João da Barra,-21.64,-41.05,0,79.45,61,10.13,BR
Namwala,-15.75,26.44,13,77.97,16,3.74,ZM
Narrabri,-30.32,149.78,21,43.0,92,3.49,AU
Swellendam,-34.02,20.44,80,48.24,75,2.64,ZA
Cosío,22.35,-102.3,96,67.01,51,8.01,MX
Lewiston,44.1,-70.21,75,70.0,83,4.0,US
Menongue,-14.66,17.69,1,87.15,11,5.53,AO
Kaitangata,-46.28,169.85,94,44.01,84,3.0,NZ
Solnechnyy,50.72,136.63,100,54.3,93,5.79,RU
Saint-Joseph,-21.37,55.62,36,69.01,75,11.18,RE
Playas,-2.63,-80.38,100,70.21,81,9.48,EC
Payakumbuh,-0.22,100.63,6,70.07,89,2.33,ID
Marathon,44.9,-89.77,16,73.0,73,8.99,US
Naze,28.37,129.48,1,80.22,83,3.27,JP
Xudat,41.63,48.68,1,71.82,59,6.6,AZ
Red Bluff,40.18,-122.24,97,80.01,55,3.6,US
Vila Velha,-20.33,-40.29,3,82.99,69,11.01,BR
Soyo,-6.13,12.37,82,74.86,79,8.72,AO
Codrington,-38.27,141.97,97,49.17,79,6.04,AU
Arrondissement de Rochefort,45.92,-1.0,20,73.99,73,7.0,FR
Mar del Plata,-38.0,-57.56,0,54.0,44,21.0,AR
Lac du Bonnet,50.25,-96.06,0,71.01,99,3.0,CA
Hualmay,-11.1,-77.61,80,65.08,65,9.95,PE
Metro,-5.11,105.31,12,75.65,88,3.22,ID
Kloulklubed,7.04,134.26,100,83.89,75,11.18,PW
Forsytheganj,52.63,29.73,1,73.31,68,3.33,BY
Kavaratti,10.57,72.64,100,82.26,82,16.33,IN
Margate,51.38,1.39,100,69.01,94,11.27,GB
Las Vegas,36.17,-115.14,81,96.01,22,1.99,US
Ixtapa,20.7,-105.2,17,78.01,86,2.55,MX
Sudak,44.85,34.97,1,71.69,46,9.35,UA
Asău,46.43,26.4,87,70.0,76,1.05,RO
São Geraldo do Araguaia,-6.4,-48.55,40,102.54,18,7.58,BR
Winnemucca,40.97,-117.74,100,75.0,31,1.99,US
Matagami,49.75,-77.63,99,65.73,83,6.71,CA
Souillac,-20.52,57.52,38,72.0,66,7.0,MU
Kleive,62.8,7.64,94,64.99,82,1.01,NO
Ketchikan,55.34,-131.65,100,58.12,94,3.13,US
Niţchidorf,45.58,21.53,67,86.0,67,10.67,RO
Kurayoshi,35.43,133.82,5,77.76,61,3.67,JP
Tegal,-6.87,109.14,3,78.3,82,6.17,ID
Lingao,19.91,109.69,99,80.64,85,9.62,CN
Hasaki,35.73,140.83,99,77.0,99,2.17,JP
Lebu,-37.62,-73.65,99,49.69,75,5.35,CL
Itoman,26.12,127.67,0,84.0,79,8.99,JP
Burnie,-41.07,145.92,78,52.0,73,8.99,AU
Zhigansk,66.77,123.37,0,42.96,72,8.03,RU
Bilma,18.69,12.92,0,103.62,10,3.13,NE
Ntchisi,-13.53,33.91,27,63.16,38,4.56,MW
Aklavik,68.22,-135.01,96,47.3,86,2.17,CA
Rio Grande,-32.03,-52.1,0,63.0,34,4.0,BR
Tuatapere,-46.13,167.68,61,37.99,96,1.99,NZ
Cambridge,43.36,-80.31,93,71.01,40,1.99,CA
Alugan,12.22,125.48,63,78.33,86,4.61,PH
Riohacha,11.54,-72.91,99,87.22,65,6.13,CO
Troitsko-Pechorsk,62.71,56.2,10,53.06,69,3.96,RU
Corn Island,12.17,-83.04,99,82.36,74,7.96,NI
Kuytun,54.34,101.5,0,50.41,73,7.18,RU
Lázaro Cárdenas,17.96,-102.2,99,84.38,69,2.8,MX
Dubbo,-32.25,148.62,9,41.16,95,4.85,AU
Norman Wells,65.28,-126.83,86,53.44,77,3.89,CA
Biak,-0.91,122.88,100,74.66,84,10.31,ID
San Matías,-16.37,-58.4,11,100.45,23,5.93,BO
Huarmey,-10.07,-78.15,40,65.25,67,7.92,PE
Tottori-shi,35.5,134.23,1,77.88,69,4.94,JP
Pallapatti,11.66,78.13,100,79.39,69,2.8,IN
Buta,2.79,24.73,100,75.76,94,0.92,CD
Arrondissement de Morlaix,48.58,-4.0,91,66.99,100,3.0,FR
Toora-Khem,52.47,96.11,100,55.98,88,4.14,RU
Mirny,62.54,113.96,4,43.18,76,2.24,RU
Palmer,42.16,-72.33,100,68.0,89,6.2,US
Saint-Pierre,-21.34,55.48,38,69.01,75,5.41,RE
Camacha,33.08,-16.33,0,70.21,79,11.48,PT
Barcelos,41.54,-8.62,77,75.99,58,15.01,PT
Samarai,-10.62,150.67,32,75.22,78,12.3,PG
Malakal,9.53,31.66,100,75.07,91,3.09,SS
Flinders,-34.58,150.86,22,57.99,66,11.01,AU
Zyryanka,65.75,150.85,84,39.29,73,4.5,RU
Anloga,5.79,0.9,11,77.83,76,14.12,GH
Stornoway,58.21,-6.39,0,66.99,69,1.01,GB
Puerto Ayacucho,5.66,-67.62,90,84.88,78,6.33,VE
Marsh Harbour,26.54,-77.06,53,85.28,68,8.99,BS
Moindou,-21.69,165.68,96,70.34,81,6.17,NC
Stettler,52.32,-112.72,33,66.0,72,4.0,CA
São Domingos,-13.4,-46.32,11,99.0,18,0.89,BR
Morondava,-20.28,44.28,0,74.21,77,12.59,MG
Tommot,58.96,126.29,97,47.97,81,2.53,RU
Ekibastuz,51.67,75.37,81,74.57,34,21.45,KZ
Kodinsk,58.69,99.18,0,51.93,56,4.7,RU
Provincia di Cagliari,39.24,9.09,62,93.16,31,12.03,IT
Lavrentiya,65.58,-171.0,100,49.01,72,2.21,RU
Sikandra Rao,27.7,78.4,11,87.49,71,5.7,IN
Skellefteå,64.75,20.95,0,66.15,36,8.39,SE
Aleksandrov Gay,50.15,48.57,84,65.7,51,12.19,RU
Bubaque,11.28,-15.83,81,80.94,83,14.27,GW
Kalemie,-5.95,29.19,4,76.68,51,4.72,CD
Faya,18.39,42.45,78,72.77,46,6.49,SA
Kirkenes,69.73,30.05,100,50.09,73,24.25,NO
Tenerife,9.9,-74.86,90,88.2,65,4.47,CO
Ciudad Bolivar,8.12,-63.55,15,90.03,57,9.64,VE
Kimbe,-5.55,150.14,16,73.63,83,6.31,PG
Pokhara,28.23,83.98,69,74.77,81,1.19,NP
Kholtoson,50.3,103.31,100,51.6,89,0.89,RU
Cockburn Town,21.46,-71.14,56,82.63,81,12.93,TC
La Puebla del Río,37.27,-6.06,0,87.01,32,5.01,ES
Qūchān,37.11,58.51,9,69.1,49,7.9,IR
Kalianget,-7.05,113.93,0,80.11,83,12.44,ID
Luanda,-8.84,13.23,9,74.41,76,11.99,AO
Esil,51.96,66.4,12,60.75,73,3.22,KZ
Sanski Most,44.77,16.67,8,82.54,53,4.97,BA
Dengzhou,37.81,120.75,8,75.79,91,4.65,CN
Kenai,60.55,-151.26,0,62.01,63,4.0,US
Pawāyan,28.07,80.1,33,83.64,82,7.25,IN
Varhaug,58.61,5.65,5,71.01,78,1.01,NO
Koumac,-20.57,164.28,91,69.76,87,2.64,NC
Jalu,29.03,21.55,0,101.8,14,11.43,LY
Oruzgan,32.83,66.0,0,79.36,15,3.89,AF
Tura,25.52,90.22,79,76.15,94,7.16,IN
Rosário Oeste,-14.84,-56.43,67,102.47,17,7.0,BR
Moose Factory,51.26,-80.61,92,74.97,47,5.82,CA
Lakes Entrance,-37.88,147.98,100,54.0,88,3.0,AU
Ponta Delgada,37.73,-25.67,57,75.65,76,15.68,PT
Pemberton,50.32,-122.8,0,55.99,83,0.49,CA
Clyde River,70.47,-68.59,90,46.27,61,17.49,CA
Nuuk,64.18,-51.72,0,50.0,52,8.99,GL
Leshukonskoye,64.9,45.76,100,54.48,92,7.9,RU
Rawson,-43.3,-65.1,20,50.27,44,29.19,AR
Smirnykh,49.75,142.83,100,52.25,96,3.49,RU
Ihosy,-22.4,46.12,0,65.41,45,4.12,MG
Egvekinot,66.32,-179.17,100,46.62,91,3.58,RU
Chifeng,42.27,118.96,100,75.74,62,6.2,CN
Voh,-20.97,164.7,86,68.99,85,4.81,NC
Concarneau,47.88,-3.92,40,71.01,71,3.0,FR
Narsaq,60.92,-46.05,2,51.8,50,4.7,GL
Osakarovka,50.56,72.57,99,68.31,49,7.94,KZ
Riyadh,24.69,46.72,19,98.94,11,8.9,SA
Excelsior Springs,39.34,-94.23,56,73.99,76,4.05,US
Roald,62.58,6.13,78,64.99,82,1.01,NO
Itamarandiba,-17.86,-42.86,5,86.52,32,3.47,BR
Bairiki Village,1.33,172.98,100,80.62,69,4.41,KI
Taoudenni,22.68,-3.98,0,118.04,5,8.19,ML
Mount Isa,-20.73,139.5,0,58.86,34,9.46,AU
Zarechnyy,53.2,45.19,23,69.01,31,5.53,RU
Nabire,-3.37,135.48,100,75.81,92,5.23,ID
Nome,64.5,-165.41,67,52.36,77,3.4,US
Miraflores,19.22,-98.81,50,60.01,77,3.0,MX
Catuday,16.29,119.81,100,78.21,84,5.91,PH
Kamenka,51.32,42.77,48,69.01,57,5.53,RU
Alofi,-19.06,-169.92,78,71.87,71,16.87,NU
Broken Hill,-31.95,141.43,9,48.42,62,5.1,AU
Kisaran,2.98,99.62,80,75.56,89,2.39,ID
Goderich,43.75,-81.72,100,66.0,86,22.08,CA
Vestmannaeyjar,63.44,-20.27,39,53.44,90,18.12,IS
Makakilo City,21.35,-158.09,4,78.01,65,5.99,US
Esmeraldas,-19.76,-44.31,0,87.46,28,4.32,BR
Port Shepstone,-30.74,30.45,7,62.22,46,18.19,ZA
Mehamn,71.04,27.85,98,49.77,75,26.44,NO
Alice Springs,-23.7,133.88,0,63.27,30,10.83,AU
Tynda,55.17,124.72,95,49.53,87,3.11,RU
Half Moon Bay,37.46,-122.43,100,72.0,70,3.6,US
Pendleton,45.67,-118.79,41,75.99,32,3.0,US
Voyvozh,62.89,54.96,56,53.76,65,3.78,RU
Port Hardy,50.7,-127.42,0,59.92,88,3.18,CA
Mandurah,-32.55,115.7,89,54.0,82,5.01,AU
Nouakchott,18.09,-15.98,17,86.04,64,14.79,MR
Sorrento,40.63,14.37,0,89.01,78,1.99,IT
Bambanglipuro,-7.95,110.28,20,75.4,86,4.72,ID
Rexburg,43.83,-111.79,43,68.0,45,5.01,US
Coria,39.99,-6.54,10,82.99,31,5.99,ES
Auray,47.67,-2.99,47,71.01,74,3.0,FR
San Ramon,37.78,-121.98,98,75.99,88,4.74,US
Inhambane,-23.86,35.38,0,77.0,78,11.99,MZ
Lebedinyy,58.52,125.52,98,42.39,93,5.28,RU
Christchurch,-43.53,172.63,0,35.01,96,2.53,NZ
Beatrice,40.27,-96.75,100,73.99,74,1.99,US
Balabac,7.99,117.06,4,81.91,75,5.66,PH
Wuning,29.26,120.23,0,77.22,87,3.8,CN
Port Macquarie,-31.43,152.92,0,45.0,91,9.84,AU
Saint George,37.1,-113.58,47,90.0,17,1.99,US
Tautira,-17.73,-149.15,42,77.0,65,8.01,PF
Salair,54.23,85.8,5,56.28,93,3.89,RU
Buraidah,26.33,43.98,0,98.31,13,8.5,SA
Boueni,-12.9,45.08,0,74.7,73,4.41,YT
Falmouth,50.15,-5.07,97,66.99,100,5.99,GB
Kulhudhuffushi,6.62,73.07,100,83.08,78,9.04,MV
Igarka,67.47,86.58,0,59.45,64,11.5,RU
Vologda,59.22,39.89,99,61.3,92,9.1,RU
Kavieng,-2.57,150.8,73,82.49,75,9.42,PG
Manzanillo,20.34,-77.12,96,88.61,61,6.29,CU
Santa Cruz del Sur,20.71,-78.0,96,87.98,61,8.61,CU
Pāveh,35.04,46.36,8,74.07,27,4.74,IR
Darnah,32.77,22.64,0,81.86,73,19.01,LY
Morón,-34.65,-58.62,0,60.01,31,11.01,AR
Manokwari,-0.87,134.08,66,78.84,78,4.76,ID
Muktsar,30.48,74.52,1,90.39,55,7.83,IN
Chiang Klang,19.29,100.86,100,73.56,89,2.1,TH
Ibrā’,22.69,58.53,65,97.05,29,5.84,OM
Gberia Fotombu,9.88,-11.17,87,74.91,89,8.48,SL
Henties Bay,-22.12,14.28,0,60.01,79,7.0,NA
Xining,36.62,101.77,100,51.91,83,0.49,CN
Kigorobya,1.62,31.31,95,71.94,86,2.46,UG
Meulaboh,4.14,96.13,75,79.23,80,2.17,ID
Merauke,-8.47,140.33,13,73.45,84,12.93,ID
Lata,40.16,-8.33,38,82.0,44,10.76,PT
